consecutive_number,state_name,land_use_name,hour_of_crash,atmospheric_conditions_name,body_type_name,number_of_fatalities
560099,Wyoming,Rural,3,Snow,Standard Pickup,1
160226,Idaho,Rural,16,Blowing Snow,Utility Station Wagon,2
50006,Arkansas,Urban,3,Clear,Standard Pickup,1
482027,Texas,Urban,15,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
121570,Florida,Urban,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40186,Arizona,Rural,19,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2
40186,Arizona,Rural,19,Clear,Utility Station Wagon,2
60424,California,Rural,0,Clear,Utility Station Wagon,4
220503,Louisiana,Rural,23,Clear,Standard Pickup,1
280190,Mississippi,Urban,15,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350035,New Mexico,Urban,6,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
63236,California,Urban,6,Clear,Motorcycle,1
63236,California,Urban,6,Clear,Standard Pickup,1
290496,Missouri,Urban,20,Clear,4-Door Sedan/Hardtop,1
290501,Missouri,Urban,14,Clear,Station Wagon (Excluding Van and Truck-Based),1
400508,Oklahoma,Urban,12,Clear,4-Door Sedan/Hardtop,1
481521,Texas,Urban,10,Clear,Motorcycle,1
60675,California,Urban,13,Clear,4-Door Sedan/Hardtop,2
160088,Idaho,Rural,5,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350143,New Mexico,Rural,13,Clear,Minivan,1
350143,New Mexico,Rural,13,Clear,Motorcycle,1
400563,Oklahoma,Rural,3,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
470779,Tennessee,Urban,10,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
481784,Texas,Rural,21,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
170446,Illinois,Rural,14,Clear,Three-Wheel Motorcycle/Moped- Not All-Terrain Vehicle,1
210156,Kentucky,Rural,4,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2
210156,Kentucky,Rural,4,Clear,4-Door Sedan/Hardtop,2
210156,Kentucky,Rural,4,Clear,4-Door Sedan/Hardtop,2
350188,New Mexico,Rural,12,Clear,Other or Unknown Automobile Type,1
121160,Florida,Rural,18,Clear,Single Unit Straight Truck or Cab-Chassis (GVWR Unknown) (Since 2011),1
220634,Louisiana,Rural,8,Clear,Motorcycle,1
50189,Arkansas,Rural,16,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
180698,Indiana,Rural,16,Clear,Utility Station Wagon,1
10131,Alabama,Rural,14,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
10135,Alabama,Rural,13,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
400561,Oklahoma,Rural,21,Clear,Standard Pickup,1
131106,Georgia,Rural,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
200269,Kansas,Rural,1,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
170719,Illinois,Rural,1,Clear,"Convertible (Excludes Sunroof, T-Bar)",2
40476,Arizona,Rural,3,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),3
120105,Florida,Rural,20,Clear,Standard Pickup,1
350164,New Mexico,Rural,22,Clear,4-Door Sedan/Hardtop,1
50170,Arkansas,Rural,20,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
360039,New York,Rural,4,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
450761,South Carolina,Rural,5,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
320236,Nevada,Rural,4,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
320234,Nevada,Rural,23,Clear,4-Door Sedan/Hardtop,1
121386,Florida,Urban,4,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
180192,Indiana,Urban,6,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
61714,California,Urban,1,Clear,4-Door Sedan/Hardtop,1
50417,Arkansas,Urban,1,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
61469,California,Urban,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
122803,Florida,Urban,9,Clear,Motorcycle,1
122434,Florida,Urban,9,Clear,Large Van – Includes Van-Based Buses,1
122434,Florida,Urban,9,Clear,Large Van – Includes Van-Based Buses,1
270204,Minnesota,Urban,17,Clear,4-Door Sedan/Hardtop,1
270204,Minnesota,Urban,17,Clear,Motorcycle,1
270204,Minnesota,Urban,17,Clear,Station Wagon (Excluding Van and Truck-Based),1
270204,Minnesota,Urban,17,Clear,Standard Pickup,1
270204,Minnesota,Urban,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
340155,New Jersey,Urban,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
530112,Washington,Urban,18,Clear,Motorcycle,1
90258,Connecticut,Urban,8,Clear,Standard Pickup,1
481229,Texas,Urban,18,Clear,Motorcycle,1
250083,Massachusetts,Urban,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40524,Arizona,Urban,15,Clear,Motorcycle,1
420047,Pennsylvania,Urban,17,Clear,3-Door/2-Door Hatchback,1
481226,Texas,Urban,12,Clear,4-Door Sedan/Hardtop,1
260209,Michigan,Urban,20,Clear,Motorcycle,1
130117,Georgia,Urban,7,Clear,Standard Pickup,1
330063,New Hampshire,Urban,13,Clear,4-Door Sedan/Hardtop,1
220033,Louisiana,Urban,16,Clear,Utility Station Wagon,1
450637,South Carolina,Urban,17,Clear,Motorcycle,1
170827,Illinois,Urban,5,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
530226,Washington,Urban,0,Clear,Standard Pickup,1
530226,Washington,Urban,0,Clear,Motorcycle,1
480432,Texas,Rural,1,Clear,Standard Pickup,1
280514,Mississippi,Rural,4,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
482966,Texas,Rural,18,Clear,Standard Pickup,1
180042,Indiana,Rural,1,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
170710,Illinois,Urban,19,Clear,Motorcycle,1
122733,Florida,Urban,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
61863,California,Rural,2,Clear,Standard Pickup,2
170824,Illinois,Rural,22,Clear,4-Door Sedan/Hardtop,1
40122,Arizona,Rural,5,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
170828,Illinois,Rural,6,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2
350175,New Mexico,Rural,13,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350175,New Mexico,Rural,13,Clear,Standard Pickup,1
120255,Florida,Rural,15,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
420568,Pennsylvania,Rural,15,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
560027,Wyoming,Rural,19,Clear,Large Van – Includes Van-Based Buses,1
60154,California,Rural,0,Clear,4-Door Sedan/Hardtop,1
220387,Louisiana,Urban,2,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
420727,Pennsylvania,Rural,23,Clear,4-Door Sedan/Hardtop,1
420727,Pennsylvania,Rural,23,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
480447,Texas,Rural,21,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),2
560084,Wyoming,Rural,5,Clear,Standard Pickup,1
40338,Arizona,Rural,23,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
40568,Arizona,Rural,21,Clear,"Medium/Heavy Pickup (GVWR > 10,000 lbs)",1
421069,Pennsylvania,Rural,12,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
481800,Texas,Urban,22,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
120630,Florida,Rural,14,Clear,Motorcycle,1
40619,Arizona,Rural,21,Clear,4-Door Sedan/Hardtop,1
350022,New Mexico,Rural,3,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
122127,Florida,Rural,22,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
160110,Idaho,Rural,22,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
300161,Montana,Rural,0,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40540,Arizona,Rural,2,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
490220,Utah,Rural,20,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
210404,Kentucky,Rural,21,Clear,4-Door Sedan/Hardtop,1
470455,Tennessee,Rural,14,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
180524,Indiana,Rural,5,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
80391,Colorado,Rural,18,Clear,Standard Pickup,1
450408,South Carolina,Rural,4,Clear,Standard Pickup,1
40686,Arizona,Rural,11,Clear,Motorcycle,1
310094,Nebraska,Rural,9,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
490196,Utah,Rural,15,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
50217,Arkansas,Rural,7,Clear,Motorcycle,2
160225,Idaho,Rural,16,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
160168,Idaho,Rural,17,Clear,Utility Station Wagon,1
61513,California,Rural,14,Clear,Minivan,1
560047,Wyoming,Rural,16,Clear,Large Van – Includes Van-Based Buses,1
350180,New Mexico,Rural,10,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350180,New Mexico,Rural,10,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
160082,Idaho,Rural,20,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
170404,Illinois,Rural,17,Clear,Standard Pickup,1
61290,California,Rural,9,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),2
60949,California,Rural,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
240233,Maryland,Rural,17,Clear,"Single-Unit Straight Truck or Cab-Chassis (GVWR > 26,000 lbs) (Since 2011)",1
530221,Washington,Rural,15,Clear,Standard Pickup,1
171059,Illinois,Rural,13,Clear,Minivan,1
470207,Tennessee,Rural,18,Clear,4-Door Sedan/Hardtop,1
390256,Ohio,Rural,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350150,New Mexico,Rural,10,Clear,4-Door Sedan/Hardtop,1
190157,Iowa,Rural,18,Clear,Large Van – Includes Van-Based Buses,1
482134,Texas,Rural,15,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
482134,Texas,Rural,15,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
122281,Florida,Rural,0,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
62447,California,Rural,0,Clear,Station Wagon (Excluding Van and Truck-Based),1
550455,Wisconsin,Rural,3,Clear,Minivan,1
10828,Alabama,Rural,15,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
481734,Texas,Rural,11,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
450205,South Carolina,Rural,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
470652,Tennessee,Rural,15,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
470845,Tennessee,Rural,16,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
300020,Montana,Rural,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
300043,Montana,Rural,2,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
10245,Alabama,Rural,3,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
460017,South Dakota,Rural,0,Clear,Standard Pickup,1
280534,Mississippi,Rural,1,Clear,Standard Pickup,2
280534,Mississippi,Rural,1,Clear,4-Door Sedan/Hardtop,2
280534,Mississippi,Rural,1,Clear,4-Door Sedan/Hardtop,2
40189,Arizona,Rural,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
120197,Florida,Rural,16,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
490105,Utah,Rural,21,Clear,Minivan,1
490179,Utah,Rural,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
482572,Texas,Rural,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
482195,Texas,Rural,3,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
560055,Wyoming,Rural,20,Clear,Station Wagon (Excluding Van and Truck-Based),1
470685,Tennessee,Rural,2,Clear,Motorcycle,1
390831,Ohio,Rural,6,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
390831,Ohio,Rural,6,Clear,4-Door Sedan/Hardtop,1
40030,Arizona,Rural,21,Clear,4-Door Sedan/Hardtop,1
280145,Mississippi,Rural,20,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
160078,Idaho,Rural,1,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
60850,California,Rural,4,Clear,Station Wagon (Excluding Van and Truck-Based),2
180204,Indiana,Rural,15,Clear,Standard Pickup,1
470050,Tennessee,Rural,23,Clear,4-Door Sedan/Hardtop,1
280557,Mississippi,Rural,5,Clear,Standard Pickup,1
530286,Washington,Rural,7,Clear,Single Unit Straight Truck or Cab-Chassis (GVWR Unknown) (Since 2011),1
530286,Washington,Rural,7,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
470633,Tennessee,Urban,4,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
480090,Texas,Rural,23,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40622,Arizona,Rural,19,Clear,4-Door Sedan/Hardtop,1
40146,Arizona,Rural,4,Clear,Station Wagon (Excluding Van and Truck-Based),2
190189,Iowa,Rural,4,Clear,Motorcycle,1
540158,West Virginia,Rural,17,Clear,Standard Pickup,2
420345,Pennsylvania,Rural,8,Clear,Minivan,1
420428,Pennsylvania,Rural,9,Clear,2-Door Sedan/Hardtop/Coupe,1
190144,Iowa,Rural,10,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
10694,Alabama,Rural,15,Clear,Utility Station Wagon,2
480502,Texas,Rural,14,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
320177,Nevada,Rural,20,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
170417,Illinois,Rural,4,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
350311,New Mexico,Rural,7,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350324,New Mexico,Rural,10,Clear,5-Door/4-Door Hatchback,1
310122,Nebraska,Rural,13,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
481772,Texas,Rural,9,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
350277,New Mexico,Rural,19,Clear,4-Door Sedan/Hardtop,2
350277,New Mexico,Rural,19,Clear,5-Door/4-Door Hatchback,2
530216,Washington,Urban,22,Clear,4-Door Sedan/Hardtop,1
340379,New Jersey,Urban,18,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
170681,Illinois,Urban,11,Clear,Motorcycle,1
130919,Georgia,Urban,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
121043,Florida,Urban,16,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
121043,Florida,Urban,16,Clear,4-Door Sedan/Hardtop,1
121043,Florida,Urban,16,Clear,Motorcycle,1
130770,Georgia,Urban,6,Clear,4-Door Sedan/Hardtop,1
80298,Colorado,Urban,15,Clear,2-Door Sedan/Hardtop/Coupe,1
40769,Arizona,Urban,16,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",2
482747,Texas,Urban,9,Clear,Standard Pickup,3
482747,Texas,Urban,9,Clear,Standard Pickup,3
350245,New Mexico,Urban,20,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40685,Arizona,Urban,8,Clear,Standard Pickup,1
250331,Massachusetts,Urban,16,Clear,Standard Pickup,1
350048,New Mexico,Urban,8,Clear,4-Door Sedan/Hardtop,1
40438,Arizona,Urban,11,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),2
350207,New Mexico,Urban,11,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
470749,Tennessee,Urban,4,Clear,5-Door/4-Door Hatchback,1
121559,Florida,Urban,18,Clear,Motorcycle,1
270133,Minnesota,Urban,18,Clear,Motorcycle,1
250032,Massachusetts,Urban,10,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
121084,Florida,Urban,19,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
121084,Florida,Urban,19,Clear,Motorcycle,1
121084,Florida,Urban,19,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
50051,Arkansas,Urban,23,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
450131,South Carolina,Urban,3,Clear,4-Door Sedan/Hardtop,1
280033,Mississippi,Urban,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
470293,Tennessee,Urban,5,Clear,4-Door Sedan/Hardtop,1
120158,Florida,Urban,2,Clear,Motorcycle,1
400108,Oklahoma,Urban,18,Clear,Motorcycle,1
310155,Nebraska,Urban,2,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
310155,Nebraska,Urban,2,Clear,3-Door/2-Door Hatchback,1
420435,Pennsylvania,Urban,9,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2
60345,California,Urban,5,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
121943,Florida,Urban,16,Clear,5-Door/4-Door Hatchback,1
121943,Florida,Urban,16,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
121943,Florida,Urban,16,Clear,4-Door Sedan/Hardtop,1
482926,Texas,Urban,15,Clear,Motorcycle,1
482462,Texas,Urban,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
121784,Florida,Urban,16,Clear,2-Door Sedan/Hardtop/Coupe,1
62181,California,Urban,18,Clear,Motorcycle,1
62181,California,Urban,18,Clear,2-Door Sedan/Hardtop/Coupe,1
62181,California,Urban,18,Clear,4-Door Sedan/Hardtop,1
350244,New Mexico,Urban,23,Clear,4-Door Sedan/Hardtop,1
480809,Texas,Urban,2,Clear,Standard Pickup,1
480050,Texas,Urban,20,Clear,2-Door Sedan/Hardtop/Coupe,1
50135,Arkansas,Urban,1,Clear,Motorcycle,1
340385,New Jersey,Urban,18,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
340385,New Jersey,Urban,18,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
470520,Tennessee,Urban,3,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
410296,Oregon,Urban,1,Clear,Utility Station Wagon,1
490059,Utah,Urban,22,Clear,4-Door Sedan/Hardtop,1
480256,Texas,Urban,21,Clear,Motorcycle,1
470970,Tennessee,Urban,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
10045,Alabama,Urban,17,Clear,"Cab Chassis-Based (Includes Light Stake, Light Dump, Light Tow, Rescue
Vehicles)",1
270247,Minnesota,Urban,20,Clear,Motorcycle,1
40475,Arizona,Urban,14,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
410319,Oregon,Urban,16,Clear,4-Door Sedan/Hardtop,1
220069,Louisiana,Urban,8,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
160024,Idaho,Urban,16,Clear,Standard Pickup,1
130619,Georgia,Urban,7,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
400124,Oklahoma,Urban,14,Clear,Utility Station Wagon,1
470496,Tennessee,Urban,11,Clear,4-Door Sedan/Hardtop,1
470123,Tennessee,Urban,6,Clear,Motorcycle,1
540192,West Virginia,Urban,13,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
60367,California,Urban,14,Clear,Motorcycle,1
360374,New York,Urban,7,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
530378,Washington,Urban,7,Clear,Motorcycle,1
290825,Missouri,Urban,10,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
340288,New Jersey,Urban,11,Clear,Minivan,1
60221,California,Urban,14,Clear,Motorcycle,1
120078,Florida,Urban,23,Clear,Motorcycle,1
210559,Kentucky,Urban,16,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
130789,Georgia,Urban,20,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
131017,Georgia,Urban,15,Clear,Single Unit Straight Truck or Cab-Chassis (GVWR Unknown) (Since 2011),1
371004,North Carolina,Urban,15,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
170592,Illinois,Urban,13,Clear,Utility Station Wagon,1
121418,Florida,Urban,11,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40047,Arizona,Urban,13,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
121059,Florida,Urban,12,Clear,Motorcycle,1
130583,Georgia,Urban,16,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
130773,Georgia,Urban,11,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
240193,Maryland,Urban,15,Clear,Other Van Type (Hi-Cube Van),1
490136,Utah,Urban,19,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2
470775,Tennessee,Urban,17,Clear,Standard Pickup,1
50316,Arkansas,Urban,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
61048,California,Rural,23,Clear,Minivan,1
160148,Idaho,Rural,22,Clear,Minivan,1
481743,Texas,Rural,4,Clear,Standard Pickup,1
540098,West Virginia,Rural,23,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
470509,Tennessee,Rural,3,Clear,4-Door Sedan/Hardtop,1
470509,Tennessee,Rural,3,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
490140,Utah,Rural,7,Clear,Standard Pickup,2
350262,New Mexico,Rural,18,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
290660,Missouri,Rural,19,Clear,Standard Pickup,1
470696,Tennessee,Rural,3,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
210513,Kentucky,Rural,7,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
122005,Florida,Rural,4,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
560009,Wyoming,Rural,4,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
130648,Georgia,Rural,14,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
300033,Montana,Rural,2,Clear,Utility Station Wagon,1
40495,Arizona,Rural,17,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2
490176,Utah,Rural,13,Clear,Motorcycle,1
350101,New Mexico,Rural,11,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
370396,North Carolina,Urban,23,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
40291,Arizona,Rural,5,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
40003,Arizona,Rural,6,Clear,4-Door Sedan/Hardtop,1
61415,California,Rural,5,Clear,4-Door Sedan/Hardtop,1
530211,Washington,Rural,6,Clear,4-Door Sedan/Hardtop,1
450735,South Carolina,Rural,17,Clear,"Single-Unit Straight Truck or Cab-Chassis (19,500 lbs < GVWR <=
26,000 lbs) (Since 2011)",1
350183,New Mexico,Rural,16,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
180049,Indiana,Rural,13,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
450604,South Carolina,Rural,12,Clear,Motorcycle,1
482729,Texas,Rural,11,Clear,Motorcycle,1
10517,Alabama,Rural,11,Clear,Motorcycle,1
170449,Illinois,Rural,5,Clear,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
482766,Texas,Rural,22,Clear,Standard Pickup,1
121587,Florida,Rural,12,Clear,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
40458,Arizona,Rural,13,Clear,Minivan,1
390442,Ohio,Rural,13,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
170082,Illinois,Urban,23,Clear,Standard Pickup,1
300166,Montana,Rural,3,Clear,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
61207,California,Rural,1,Clear,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
530251,Washington,Rural,18,Clear,3-Door/2-Door Hatchback,1
170166,Illinois,Rural,8,Clear,4-Door Sedan/Hardtop,1
320033,Nevada,Rural,8,Clear,Motorcycle,1
280337,Mississippi,Rural,4,Clear,Utility Station Wagon,1
420196,Pennsylvania,Rural,4,Clear,Station Wagon (Excluding Van and Truck-Based),1
